non-terminal      , funDecl , id      , main    , paramBeg , paramEnd , commaSep , typeInt , typeFloat , typeBool , typeChar , typeString , typeEmpty , typeNull , arrayBeg , arrayEnd , blockBeg , blockEnd , endLine , varDecl , opAssign , constNumInt , constNumFloat , constBool , constChar , constString , cmdPrint , opConcat , cmdRead , cmdIf   , cmdElif , cmdElse , cmdWhile , cmdRepeat , cmdIn , cmdReturn , opAnd   , opOr    , opEquals , opRel   , opAditiv , opMult , opUnaryNeg , EOF
PROGRAM           , d1      ,         , d1      ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,         ,          ,             ,               ,           ,           ,             ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        ,            , d1
FUNCTIONS         , d2      ,         , epsilon ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,         ,          ,             ,               ,           ,           ,             ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        ,            ,
MAINFUNC          ,         ,         , d4      ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,         ,          ,             ,               ,           ,           ,             ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        ,            ,
PARAMS            ,         ,         ,         , d5       ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,         ,          ,             ,               ,           ,           ,             ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        ,            ,
PARAMSFAT         ,         ,         ,         ,          , d6       ,          , d7      , d7        , d7       , d7       , d7         , d7        , d7       ,          ,          ,          ,          ,         ,         ,          ,             ,               ,           ,           ,             ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        ,            ,
LISTPARAMS        ,         ,         ,         ,          ,          ,          , d8      , d8        , d8       , d8       , d8         , d8        , d8       ,          ,          ,          ,          ,         ,         ,          ,             ,               ,           ,           ,             ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        ,            ,
LISTPARAMSFAT     ,         ,         ,         ,          , epsilon  , d9       ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,         ,          ,             ,               ,           ,           ,             ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        ,            ,
TYPE              ,         ,         ,         ,          ,          ,          , d11     , d12       , d13      , d14      , d15        , d16       , d17      ,          ,          ,          ,          ,         ,         ,          ,             ,               ,           ,           ,             ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        ,            ,
RETURNTYPE        ,         ,         ,         ,          ,          ,          , d18     , d18       , d18      , d18      , d18        , d18       , d18      ,          ,          ,          ,          ,         ,         ,          ,             ,               ,           ,           ,             ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        ,            ,
RETURNTYPEFAT     ,         ,         ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          , d19      ,          , epsilon  ,          ,         ,         ,          ,             ,               ,           ,           ,             ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        ,            ,
NAME              ,         , d21     ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,         ,          ,             ,               ,           ,           ,             ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        ,            ,
NAMEFAT           ,         ,         ,         , epsilon  , epsilon  , epsilon  ,         ,           ,          ,          ,            ,           ,          , d22      ,          ,          ,          , epsilon ,         ,          ,             ,               ,           ,           ,             ,          , epsilon  ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        ,            ,
